title,country,year_release,box_office,type_of_subject,lead_actor_actress
10 Rillington Place,UK,1971,NA,Criminal,Richard Attenborough
12 Years a Slave,US/UK,2013,56700000,Other,Chiwetel Ejiofor
127 Hours,US/UK,2010,18300000,Athlete,James Franco
1987,Canada,2014,NA,Other,Jean-Carl Boucher
20 Dates,US,1998,537000,Other,Myles Berkowitz
21,US,2008,81200000,Other,Jim Sturgess
24 Hour Party People,UK,2002,1130000,Musician,Steve Coogan
42,US,2013,95000000,Athlete,Chadwick Boseman
8 Seconds,US,1994,19600000,Athlete,Luke Perry
84 Charing Cross Road,US/UK,1987,1080000,Author,Anthony Hopkins
84 Charing Cross Road,US/UK,1987,1080000,Author,Anne Bancroft
A Beautiful Mind,US,2001,171000000,Academic,Russell Crowe
A Dangerous Method,Canada/UK,2011,5700000,Academic,Michael Fassbender
A Dangerous Method,Canada/UK,2011,5700000,Academic,Viggo Mortensen
A Dangerous Method,Canada/UK,2011,5700000,Academic,Keira Knightley
A Home of Our Own,US,1993,1700000,Other,Kathy Bates
A Man Called Peter,US,1955,NA,Other,Richard Todd
A Man for All Seasons,UK,1966,NA,Historical,Paul Scofield
A Matador's Mistress,US/UK,2008,NA,Actress,Pen̩lope Cruz
A Matador's Mistress,US/UK,2008,NA,Athlete,Adrien Brody
A Mighty Heart,US/UK,2007,9170000,Journalist,Dan Futterman
A Mighty Heart,US/UK,2007,9170000,Journalist,Angelina Jolie
A Song to Remember,US,1945,NA,Musician,Cornel Wilde
Abe Lincoln in Illinois,US,1940,NA,World leader,Raymond Massey
Above and Beyond,US,1952,NA,Military,Robert Taylor
Abraham Lincoln,US,1930,NA,World leader,Walter Huston
Against the Ropes,US,2004,5880000,Athlete,Meg Ryan
Al Capone,US,1959,NA,Criminal,Rod Steiger
Alexander,US/UK,2004,34300000,Historical,Colin Farrell
Alexander the Great,US,1956,NA,Historical,Richard Burton
Ali,US,2001,58200000,Athlete,Will Smith
Alpha Dog,US,2006,15200000,Criminal,Emile Hirsch
Amadeus,US,1984,366000,Musician,F. Murray Abraham
Amadeus,US,1984,366000,Musician,Tom Hulce
Amazing Grace,US/UK,2006,21200000,Other,Ioan Gruffudd
Amelia,US/Canada,2009,14200000,Other,Hilary Swank
American Gangster,US/UK,2007,130000000,Criminal,Denzel Washington
American Me,US,1992,13100000,Criminal,Edward James Olmos
American Sniper,US,2014,350000000,Military,Bradley Cooper
American Splendor,US,2003,6000000,Comedian,Paul Giamatti
An American Crime,US,2007,NA,Criminal,Catherine Keener
